"spkid","full_name","pdes","name","pha","H","G","diameter","albedo","rot_per","epoch_mjd","e","a","q","i","om","w","ma","ad","moid","moid_jup","t_jup","class"
3802092,"       (2018 FW4)","2018 FW4",,N,25.10,,,,,58200,0.4599,1.633,0.882,3.44,196.74,52.57,334.73,2.38,0.00105,2.66,4.18,APO
3802094,"       (2018 FX4)","2018 FX4",,N,25.60,,,,,58200,0.7250,1.774,0.488,1.79,7.47,69.98,20.88,3.06,0.00414,2.25,3.74,APO
3802091,"       (2018 FY4)","2018 FY4",,N,23.60,,,,,59800,0.4369,1.781,1.003,7.54,46.03,99.56,318.20,2.56,0.115,2.49,3.96,APO
3802099,"       (2018 FE5)","2018 FE5",,N,20.60,,,,,59800,0.5817,2.628,1.099,24.69,8.06,259.79,349.28,4.16,0.349,2.05,3.03,AMO
3802098,"       (2018 FF5)","2018 FF5",,N,28.00,,,,,59800,0.5315,2.054,0.962,3.12,357.30,153.15,184.73,3.15,0.00199,1.86,3.6,APO
3802100,"       (2018 FG5)","2018 FG5",,N,24.50,,,,,59800,0.6200,2.407,0.915,3.74,194.25,284.53,76.44,3.90,0.0399,1.26,3.23,APO
3802101,"       (2018 FH5)","2018 FH5",,N,20.36,,,,,59800,0.4925,2.558,1.298,30.72,359.27,236.43,11.08,3.82,0.439,1.88,3.08,AMO
3802102,"       (2018 FJ5)","2018 FJ5",,Y,20.13,,,,,59800,0.8566,2.487,0.357,18.25,124.33,287.60,57.44,4.62,0.0341,1.61,2.77,APO
3802103,"       (2018 FK5)","2018 FK5",,N,28.30,,,,,59800,0.2964,1.094,0.769,12.22,9.54,269.79,235.16,1.42,0.000734,3.73,5.61,APO
3802120,"       (2018 FO5)","2018 FO5",,Y,20.50,,,,,59800,0.4345,1.661,0.939,9.13,236.96,41.32,323.37,2.38,0.0026,2.78,4.14,APO
3802121,"       (2018 FP5)","2018 FP5",,N,25.70,,,,,59800,0.5010,1.069,0.533,12.27,5.81,64.82,38.90,1.60,0.0074,3.75,5.63,APO
