"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
3837902,"       (2019 AG13)",,,59800,2.06,0.6059,11.09,265.57,299.65,51.08,21.90,,,,,0.812,0.00545
3837905,"       (2019 AH13)",,,59800,1.178,0.1296,3.95,126.17,350.93,282.16,26.00,,,,,1.026,0.0435
3837907,"       (2019 AJ13)",,,59800,1.1,0.1947,4.47,110.90,83.33,333.60,28.10,,,,,0.886,0.02
3837911,"       (2019 AK13)",,,59800,1.2,0.2806,9.82,300.45,297.76,164.32,23.60,,,,,0.863,0.0226
3837909,"       (2019 AL13)",,,58497,2.056,0.5372,5.13,296.49,224.96,347.13,25.90,,,,,0.951,0.0262
3837917,"       (2019 AM13)",,,59800,1.296,0.9298,16.65,323.07,359.91,179.27,22.00,,,,,0.091,0.132
3837908,"       (2019 AN13)",,,59800,2.276,0.4995,10.55,206.76,272.89,7.03,20.80,,,,,1.139,0.249
3837910,"       (2019 AO13)",,,59800,1.199,0.1349,18.63,300.60,153.37,273.31,25.50,,,,,1.037,0.0671
3837912,"       (2019 AP13)",,,59800,2.719,0.8422,20.47,116.41,244.85,300.92,21.50,,,,,0.429,0.0671
3837913,"       (2019 AQ13)",,,58499,1.936,0.5261,2.79,88.43,96.55,339.59,23.80,,,,,0.917,0.0319
3837918,"       (2019 AR13)",,,59800,0.9777,0.1766,2.54,96.51,163.84,118.69,24.10,,,,,0.805,0.0379
3837914,"       (2019 AS13)",,,59800,1.273,0.1793,36.12,144.63,16.94,160.99,21.00,,,,,1.045,0.0652
3837919,"       (2019 AT13)",,,59800,1.386,0.2957,5.67,296.00,158.97,76.71,26.90,,,,,0.976,0.00717
3837923,"       (2019 AV13)",,,59800,1.203,0.2236,14.73,322.97,67.69,308.64,22.10,,,,,0.934,0.033
3837924,"       (2019 AW13)",,,59800,1.699,0.7562,28.19,146.74,87.61,194.48,19.40,,,,,0.414,0.138
3837932,"       (2019 AY13)",,,59800,0.9477,0.5126,4.77,263.50,82.53,38.56,22.65,,,,,0.462,0.0364
3837931,"       (2019 AZ13)",,,59800,2.569,0.5584,14.01,169.78,20.95,304.24,19.70,,,,,1.134,0.154
3837933,"       (2019 AA14)",,,59800,2.117,0.6202,5.72,222.22,344.74,34.63,22.28,,,,,0.804,0.0734
3837947,"       (2019 AJ14)",,,58493,2.481,0.6428,10.08,313.54,99.05,11.95,24.11,,,,,0.886,0.101
3837950,"       (2019 AO14)",,,59800,2.787,0.5601,10.83,35.86,12.92,297.85,20.60,,,,,1.226,0.239
3837951,"       (2019 AP14)",,,59800,1.511,0.3760,20.40,95.56,293.88,18.22,22.60,,,,,0.943,0.109
3837952,"       (2019 AQ14)",,,58498,1.178,0.3048,2.95,115.82,85.50,307.95,27.00,,,,,0.819,0.0102
3837957,"       (2019 AR14)",,,59800,1.908,0.3368,13.07,326.41,136.83,132.80,22.60,,,,,1.265,0.317
3838002,"       (2019 AT14)",,,58495,1.716,0.6087,6.91,55.28,317.01,28.82,23.96,,,,,0.672,0.0709
3838004,"       (2019 AV14)",,,58495,1.147,0.6462,27.45,295.30,49.00,47.77,24.50,,,,,0.406,0.079
3838005,"       (2019 AW14)",,,59800,1.707,0.2633,9.86,0.27,170.02,176.49,21.94,,,,,1.257,0.265
3838006,"       (2019 AX14)",,,58497,1.16,0.4456,6.35,296.40,284.35,305.91,26.68,,,,,0.643,0.0132
3837915,"       (2019 BF)",,,59800,2.41,0.5935,4.50,161.23,28.81,325.80,23.00,,,,,0.980,0.0153
3837916,"       (2019 BG)",,,59800,2.452,0.5749,16.09,315.75,217.15,322.08,21.20,,,,,1.042,0.111
